Source,Link,Title,Article,Date
InvestorPlace,https://markets.businessinsider.com/news/stocks/the-7-most-undervalued-stocks-to-buy-for-2023-1032032481,The 7 Most Undervalued Stocks to Buy for 2023,"InvestorPlace - Stock Market News, Stock Advice & Trading TipsAs the market continues to struggle, it’s a great time to look for undervalued stocks to buy.There are bargains to be found in the stock market for investors who have nerves of steel and can stomach the ongoing volatility. The ups and downs of the stock market over the last year has resulted in some of the best-run companies in the U.S. having undervalued stocks. These securities are trading at a huge discount relative to their current and future earnings, creating buying opportunities for investors looking to put capital to work in a weak market.These names should pay off handsomely over the long term. Here are seven of the most undervalued stocks to buy for 2023.WSMWilliams-Sonoma$123.70WWWWolverine Worldwide$13.53HOGHarley-Davidson$43.19HRBH&R Block$37.44KRKroger$44.45SWKStanley Black & Decker$85.83Williams-Sonoma (WSM)Source: designs by Jack / Shutterstock.comKitchenware and home furnishing company Williams-Sonoma (NYSE:WSM) might not be on most investors’ radars, but it should be. The San Francisco-based concern’s stock has pulled back 13% in the last 12 months to $123 a share. The price-earnings ratio of WSM stock is currently 7.30, which is about half that of the S&P 500. And the shares pay a quarterly dividend of 78 cents a share, resulting in a yield of 2.50%.Other reasons to consider adding Williams-Sonoma to your portfolio include the fact that the company has no debt, a strong online and social media presence ( it has 1.6 million followers on Instagram), and a net income margin of 13.5%. Also noteworthy is that WSM has increased its earnings per share (EPS) at an average clip of 50% over the last three years. Finally, Williams-Sonoma’s 22% revenue growth in 2021 was more than triple the 7% average growth rate of the U.S. furniture industry.Add in $2.5 billion of stock buybacks in the past five years, and WSM stock looks like a no-brainer. Investors should buy the dip of this undervalued stock.Wolverine World Wide (WWW)Source: It for you / Shutterstock.comInvestors might not be familiar with Wolverine World Wide (NYSE:WWW), but they certainly know its products. The Michigan-based footwear company makes some of the most popular sneakers and shoes in the world. Its portfolio of brands includes Hush Puppies, Merrell, Keds, Saucony and Top Sider, to name only a few. Wolverine also has agreements in place to make footwear for other companies such as Caterpillar (NYSE:CAT).Wolverine thrived before the Covid-19 pandemic. In February 2020, WWW stock was trading above $30 a share. However, retail store closures during the pandemic hurt its business, and it has struggled to overcome excess inventories as the economy has reopened, leading it to implement discounts and markdowns.Consequently, Wolverine’s stock has declined 47% over the last year, and the stock’s low price-earnings ratio of 6.86 indicates that it is undervalued at its current levels.Despite its woes, WWW stock pays a quarterly dividend of 10 cents per share, which equates to a significant yield of 3%. Look for this stock to rebound once WWW’s inventories are adjusted and inflation continues to ease.Harley-Davidson (HOG)Source: Alex Erofeenkov / Shutterstock.comMotorcycle manufacturer Harley-Davidson (NYSE:HOG) is a legendary company not just in the U.S. but all over the world. A going concern since 1903, Harley-Davidson continues to make some of the most popular, in-demand motorcycles. And while its stock has been on an upswing over the past six months, its long-term performance has lagged the market. In the past 12 months, HOG stock has gained 29%, which is great. But over the last five years, the stock is down 22%.Harley-Davidson’s current P/E ratio of nine is also low and shows the stock is a bargain at its current levels. HOG also pays a quarterly dividend of 16 cents a share, giving the stock a yield of 1.45%The reasons for the shares’ long-term underperformance are many. The company’s efforts to expand its brand into other areas of the motorcycle ecosystem such as apparel, accessories, and lifestyle products have had mixed results. And some investors have been concerned about the costs and uncertainty associated with Harley Davidson’s plans to pivot to electric motorcycles.Still, the strong brand awareness and popularity of its motorcycles make HOG stock an undervalued stocks to buy for 2023.H&R Block (HRB)Source: Ken Wolter / Shutterstock.comTax season is fast approaching, making it a good time to consider H&R Block (NYSE:HRB). The Kansas City-based tax preparation company had a spectacular 2022, with its share price gaining 75% in a down market.But even with that monster growth, HRB stock still looks undervalued . The stock’s P/E ratio is only 11.83 despite the big advance, and the median price target on the stock is $48.Moving forward, HRB stock is likely to continue benefitting from the company’s strong earnings growth. Analysts, on average, expect the firm’s EPS to increase at a mean rate of 12.5%. Analysts’ mean estimates calls for its earnings in 2023 and 2024 to grow 8.3% and 9.8%, respectively. And H&R Block continues to execute on its five-year strategic plan, called “Block Horizons,” that focuses on building stronger relationships with small businesses and expanding its suite of digital tax tools.HRB stock also has a dividend yield of 3.1%. And, given the nature of its business, investors can have confidence in H&R Block’s record keeping.Kroger (KR)Source: Jonathan Weiss / Shutterstock.comAs the largest supermarket operator and fifth largest retailer in the U.S., Cincinnati-based Kroger (NYSE:KR) should get more attention from the investing community, especially given its relatively cheap valuation. At Friday’s closing share price of $44.39, KR stock is trading 35% below its 52-week high of $62.78. The P/E ratio of 13.9 is slightly below the S&P 500 mean of 16 and far below the ratio of competitors such as Costco (NASDAQ:COST) and Walmart (NYSE:WMT).Kroger’s diminished valuation is due almost entirely to uncertainty surrounding its proposed $24.6 billion merger with its rival supermarket chain ,Albertsons (NYSE:ACI), a deal that will solidify Kroger as the biggest supermarket chain in America by revenue.However, while the merger still needs regulatory approval, it remains on track to close in 2024. But even without the deal, Kroger remains a solid long-term stock to own. It also has a dividend yield of 2.34%.Stanley Black & Decker (SWK)Source: ricochet64 / Shutterstock.comTool and hardware giant Stanley Black & Decker (NYSE:SWK) has seen better days. The Connecticut-based company’s share price has slumped 51% in the last 12 months, pulling its P/E ratio down to 9.4. Over the past five years, SWK stock has decreased 50%.The prolonged slump is the result of cost pressures due to international trade tariffs, unfavorable foreign exchange rates, and increased commodity prices, all of which were an issue for the company before the pandemic. Bloated inventories have also been a problem.However, Stanley Black & Decker is making moves that will turn its business around. These include cutting costs by $2 billion over the next three years, with $1 billion of the cost reductions slated to take place in 2023. Stanley Black & Decker also plans to reduce the number of products it sells, utilize fewer suppliers, and revamp its supply chain. Last year, the company sold its electronic security and automatic doors businesses to help refocus on its hammers and drills.If the turnaround succeeds, investors can expect the stock to rally. Worth noting is that SWK stock has a dividend yield 0f 3.75% at present.Goodyear Rubber & Tire (GT)Source: Roman Tiraspolsky / Shutterstock.comFew stocks look as undervalued as Goodyear Rubber & Tire (NASDAQ:GT). GT stock has fallen nearly 50% in the last year, and its P/E ratio currently sits at 3.8. Over the past five years, the company’s share price has plunged nearly 70%. This is a truly dreadful performance for a company that is a household name in the U.S.The Ohio-based company that has been in business since 1898 had struggled with rising competition and slowing sales for years before the Covid-19 pandemic. But in 2022, higher raw materials prices and the negative impacts of a strong U.S. dollar caused the share price to crater.Management is trying to evolve. At this year’s Consumer Electronics Show (CES), Goodyear unveiled a new tire that contains 90% sustainable materials.The company has let it be known that, after more than a century, it is trying to lessen its reliance on rubber. Time will tell if the shift works. But some analysts are starting to warm to GT stock. Keybanc Capital Markets, for example, recently placed an “overweight” rating and a $39 price target on the stock.On the date of publication, Joel Bagloleheld a long position in KR. The opinions expressed in this article are those of the writer, subject to the InvestorPlace.com Publishing Guidelines.Joel Baglole has been a business journalist for 20 years. He spent five years as a staff reporter at The Wall Street Journal, and has also written for The Washington Post and Toronto Star newspapers, as well as financial websites such as The Motley Fool and Investopedia.More From InvestorPlaceBuy This $5 Stock BEFORE This Apple Project Goes LiveThe Best $1 Investment You Can Make TodayIt doesn’t matter if you have $500 or $5 million. Do this now.Early Bitcoin Millionaire Reveals His Next Big Crypto Trade “On Air”The post The 7 Most Undervalued Stocks to Buy for 2023 appeared first on InvestorPlace.",8d
MotleyFool,https://markets.businessinsider.com/news/stocks/better-buy--starbucks-vs--costco-12080493,Better Buy: Starbucks vs. Costco,"Starbucks and Costco Wholesale both withstood the S&P 500's 14% decline over the past 12 months. Starbucks' stock rose 7%, while Costco experienced a mild decline of 4%. Let's see why these two S&P 500 companies outperformed so many of their peers -- and if one is a more promising investment right now.At first glance, Starbucks might seem like a risky investment. The coffee chain is heavily exposed to inflation, which drives up its costs and curbs the market's appetite for its pricey beverages. And the COVID-19 lockdowns in China affected its second-largest market after the United States.Starbucks also faces unionization demands in the U.S., while founder Howard Schultz -- who returned as its interim CEO last year -- is in the process of handing the reins to its new CEO, Laxman Narasimhan.",8d
MotleyFool,https://markets.businessinsider.com/news/stocks/what-the-smartest-investors-know-about-costco-stock-12079536,What the Smartest Investors Know About Costco Stock,"Shares of Costcooutperformed many of the company's peers in the past year. Shares declined by less than the market did in 2022 even though the retailer's business could be hurt by a recession. Sales growth was already slowing heading into the core holiday shopping period.But there is a lot more to a Costco investment than simply judging the company as an everyday retailer. Let's look at three big factors that might not be obvious at a glance, but that make the company an attractive choice for smart investors.Costco's valuation doesn't make sense if you compare it to traditional retailers. Target (NYSE: TGT) stock is going for 0.7 times annual earnings right now compared to Costco's 0.9 times. The company even looks expensive compared to more successful retailers like Kroger (NYSE: KR), with its P/S ratio of 0.2.",8d
MotleyFool,https://markets.businessinsider.com/news/stocks/heres-why-costco-stock-is-a-buy-in-2023-and-beyond-12076856,Here's Why Costco Stock Is a Buy in 2023 (and Beyond),"Costco Wholesale has been a relatively stable stock over the past year, when market turmoil has muted the performance of many stocks. In this episode, Jamie Louko explains why he's happy holding slower-moving companies like this in his portfolio for the long haul. If you enjoy this episode, leave a like and consider subscribing.*Stock prices used were the after-market prices of Jan. 10, 2023. The video was published on Jan. 17, 2023.",9d
Zacks,https://markets.businessinsider.com/news/stocks/costco-wholesale-corporation-cost-is-a-trending-stock--facts-to-know-before-betting-on-it-12076495,Costco Wholesale Corporation (COST) Is a Trending Stock: Facts to Know Before Betting on It,"Costco (COST) is one of the stocks most watched by Zacks.com visitors lately. So, it might be a good idea to review some of the factors that might affect the near-term performance of the stock.Over the past month, shares of this warehouse club operator have returned +5.8%, compared to the Zacks S&P 500 composite's +4% change. During this period, the Zacks Retail - Discount Stores industry, which Costco falls in, has gained 5.2%. The key question now is: What could be the stock's future direction?Although media reports or rumors about a significant change in a company's business prospects usually cause its stock to trend and lead to an immediate price change, there are always certain fundamental factors that ultimately drive the buy-and-hold decision.Revisions to Earnings EstimatesHere at Zacks, we prioritize appraising the change in the projection of a company's future earnings over anything else. That's because we believe the present value of its future stream of earnings is what determines the fair value for its stock.Our analysis is essentially based on how sell-side analysts covering the stock are revising their earnings estimates to take the latest business trends into account. When earnings estimates for a company go up, the fair value for its stock goes up as well. And when a stock's fair value is higher than its current market price, investors tend to buy the stock, resulting in its price moving upward. Because of this, empirical studies indicate a strong correlation between trends in earnings estimate revisions and short-term stock price movements.For the current quarter, Costco is expected to post earnings of $3.21 per share, indicating a change of +9.9% from the year-ago quarter. The Zacks Consensus Estimate has changed -0.1% over the last 30 days.The consensus earnings estimate of $14.28 for the current fiscal year indicates a year-over-year change of +8.7%. This estimate has remained unchanged over the last 30 days.For the next fiscal year, the consensus earnings estimate of $15.63 indicates a change of +9.5% from what Costco is expected to report a year ago. Over the past month, the estimate has remained unchanged.With an impressive externally audited track record, our proprietary stock rating tool -- the Zacks Rank -- is a more conclusive indicator of a stock's near-term price performance, as it effectively harnesses the power of earnings estimate revisions. The size of the recent change in the consensus estimate, along with three other factors related to earnings estimates, has resulted in a Zacks Rank #3 (Hold) for Costco.The chart below shows the evolution of the company's forward 12-month consensus EPS estimate:12 Month EPSRevenue Growth ForecastEven though a company's earnings growth is arguably the best indicator of its financial health, nothing much happens if it cannot raise its revenues. It's almost impossible for a company to grow its earnings without growing its revenue for long periods. Therefore, knowing a company's potential revenue growth is crucial.In the case of Costco, the consensus sales estimate of $55.56 billion for the current quarter points to a year-over-year change of +7.1%. The $243.22 billion and $257.18 billion estimates for the current and next fiscal years indicate changes of +7.2% and +5.7%, respectively.Last Reported Results and Surprise HistoryCostco reported revenues of $54.44 billion in the last reported quarter, representing a year-over-year change of +8.1%. EPS of $3.10 for the same period compares with $2.97 a year ago.Compared to the Zacks Consensus Estimate of $54.67 billion, the reported revenues represent a surprise of -0.42%. The EPS surprise was -1.27%.Over the last four quarters, Costco surpassed consensus EPS estimates three times. The company topped consensus revenue estimates three times over this period.ValuationNo investment decision can be efficient without considering a stock's valuation. Whether a stock's current price rightly reflects the intrinsic value of the underlying business and the company's growth prospects is an essential determinant of its future price performance.Comparing the current value of a company's valuation multiples, such as its price-to-earnings (P/E), price-to-sales (P/S), and price-to-cash flow (P/CF), to its own historical values helps ascertain whether its stock is fairly valued, overvalued, or undervalued, whereas comparing the company relative to its peers on these parameters gives a good sense of how reasonable its stock price is.As part of the Zacks Style Scores system, the Zacks Value Style Score (which evaluates both traditional and unconventional valuation metrics) organizes stocks into five groups ranging from A to F (A is better than B; B is better than C; and so on), making it helpful in identifying whether a stock is overvalued, rightly valued, or temporarily undervalued.Costco is graded B on this front, indicating that it is trading at a discount to its peers. Click hereto see the values of some of the valuation metrics that have driven this grade.ConclusionThe facts discussed here and much other information on Zacks.com might help determine whether or not it's worthwhile paying attention to the market buzz about Costco. However, its Zacks Rank #3 does suggest that it may perform in line with the broader market in the near term.This Little-Known Semiconductor Stock Could Be Your Portfolio’s Hedge Against InflationEveryone uses semiconductors. But only a small number of people know what they are and what they do. If you use a smartphone, computer, microwave, digital camera or refrigerator (and that’s just the tip of the iceberg), you have a need for semiconductors. That’s why their importance can’t be overstated and their disruption in the supply chain has such a global effect. But every cloud has a silver lining. Shockwaves to the international supply chain from the global pandemic have unearthed a tremendous opportunity for investors. And today, Zacks' leading stock strategist is revealing the one semiconductor stock that stands to gain the most in a new FREE report. It's yours at no cost and with no obligation.>>Yes, I Want to Help Protect My Portfolio During the RecessionWant the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. Click to get this free reportCostco Wholesale Corporation (COST): Free Stock Analysis ReportTo read this article on Zacks.com click here.Zacks Investment Research",9d
MotleyFool,https://markets.businessinsider.com/news/stocks/better-buy--costco-vs--target-stock-12070330,Better Buy: Costco Vs. Target Stock,"Costco Wholesale and Target (NYSE: TGT) are two of the best-known retailers in the U.S. And while both companies are popular for offering a variety of goods at low prices, Costco relies on a lower operating margin and higher volumes, while Target usually has a higher operating margin because it sells a larger mix of discretionary products.Therefore, it's no surprise that Target has been hit harder than Costco by supply chain disruptions and inflation. And Costco's recurring revenue stream from memberships, paired with its customer loyalty, adds another layer of protection amid economic uncertainty.Here's the case for why both Costco and Target could be worth buying now.",11d
USA Today,https://markets.businessinsider.com/news/stocks/whats-open-on-martin-luther-king-jr--day-banks--post-office-closed--but-costco--more-open-12070023,"What's open on Martin Luther King Jr. Day? Banks, post office closed. But Costco, more open","Banks, post offices and other government offices will be closed onMartin Luther King Jr. Day, but virtually everything else such as stores will open.",11d
InvestorPlace,https://markets.businessinsider.com/news/stocks/7-stocks-to-buy-and-hold-for-a-lifetime-1032018525,7 Stocks to Buy and Hold For a Lifetime,"InvestorPlace - Stock Market News, Stock Advice & Trading TipsI always trust the idea of buying and holding quality stocks for the long term. However, with geopolitical, macroeconomic, and technological changes, a part of the portfolio needs to be dynamic. At the same time, there are stocks to buy and hold forever.These stocks represent companies that have a strong balance sheet and robust cash flows. Further, these companies have remained ahead of the curve when it comes to changes and innovation. The result is sustained value creation through dividends and capital gains.It’s also worth mentioning that most of these stocks to buy and hold is low-beta stocks. Amidst market volatility, these stocks offer protection from capital erosion. I would personally allocate at least 40% to 50% of my portfolio toward these stocks. I can also say with some conviction that total returns (dividend and capital gains) from these stocks over the next five to ten years will outperform the index.Let’s discuss the reasons to be bullish on these stocks to buy and hold forever.TickerCompanyPriceCVXChevron Corporation$177.56LMTLockheed Martin$449.83COSTCostco Wholesale$485.25RIORio Tinto$77.55AAPLApple$134.76NEMNewmont Corporation$54.35FFord Motor$12.72Chevron Corporation (CVX)Source: Denis Kuvaev / Shutterstock.comChevron Corporation(NYSE:CVX) stock is among the top stocks to buy and hold. The oil and gas exploration company was in an uptrend last year, and I expect the positive momentum to sustain. Besides the potential for capital gains, CVX stock also offers an attractive dividend yield of 3.24%.From a fundamental perspective, there are two important reasons to like Chevron. First, the company has an investment-grade balance sheet with a net-debt ratio of 4.9% as of Q3 2022. Further, the company has low break-even assets that enable the generation of robust cash flows.For Q3 2022, Chevronreported an operating cash flow of $13.7 billion. With an annual OCF visibility in excess of $40 billion, Chevron is positioned to make big investments and potentially increase dividends. It’s also worth noting that Chevron has a strong resource base, which implies steady production in the coming years.Lockheed Martin (LMT)Source: Ken Wolter / Shutterstock.comGlobal defense spending exceeded $2 trillion in 2021. It’s likely that defense spending will continue to increase with several points of geopolitical friction.Lockheed Martin(NYSE:LMT) stock looks attractive and is worth holding in the core portfolio.In the last 12 months, LMT stock has trended higher by 27%, and the stock also offers a dividend yield of 2.59%. As the company’s order backlog swells, it’s likely that investment returns will remain robust. As of Q3 2022, Lockheed reported anorder backlog of $140 billion.For the last quarter, Lockheed reported a free cash flow of $2.7 billion. This implies an annualized FCF potential in excess of $10 billion. Therefore, dividend growth is likely to sustain.Lockheed Martin has also been investing in new technology. This is a catalyst for growth over the next decade. The investments include a focus on hypersonics, directed energy, and autonomy, among others. With a strong balance sheet, Lockheed is also positioned for potential acquisitions in the defense space.Costco Wholesale (COST)Source: ilzesgimene / Shutterstock.comCostco Wholesale(NASDAQ:COST) has been sideways to lower in the last 12 months. This was expected, considering inflationary pressure. Further, the stock has discounted the potential impact of aggressive rate hikes on consumer spending.Besides these near-term headwinds, COST stock is worth holding for the coming years. The U.S. economy is primarily consumption-based, and retail spending is a critical component.Another point to note is that sales growth has been healthy even amidst challenges. For the 18 weeks that ended on Jan. 1, Costco reportedsales growth of 7.6% on a year-on-year basisto $82.16 billion. The outlook remains positive, with comparable store sales growth being healthy in the U.S.Costco also has 66.9 million households as members. This has translated into$4.3 billion in membership feesin the last 12 months. With continued expansion in the U.S. and internationally, recurring income is likely to swell. This will have a sustained positive impact on cash flows.Rio Tinto (RIO)Source: Rob Bayer / Shutterstock.comRio Tinto(NYSE:RIO) looks attractive among commodity stocks to buy and hold forever. The stock has been in an uptrend, with a rally of 35% in the last six months. At a forward price-earnings ratio of 8.8 times, the stock remains a compelling buy. A dividend yield of 9.0% adds to the attractiveness.One reason to like Rio is an investment-grade balance sheet. Further, for the first half of 2022, Rio reported a free cash flow of $7.1 billion. Robust financial flexibility will ensure that dividends sustain. At the same time, Rio is positioned to make big investments to potentially accelerate growth.In December 2022, Riocompleted the acquisitionofTurquoise Hill Resourcesfor a consideration of $3.1 billion. This boosts the company’s copper portfolio. Rio is also positioned to be the largest source oflithium supply in Europefor the next 15 years. With a global push towards green energy, these base metals will drive growth for Rio Tinto.Apple (AAPL)Source: sylv1rob1 / Shutterstock.comApple’s(NASDAQ:AAPL) stock has been an underperformer in the last 12 months. During this period, the stock declined by 25%. However, the business is a cash flow machine, and Apple is an innovator. The correction provides a good entry opportunity for the long term.From the sales perspective, the iPhone segment remains the key growth driver. At the same time, theservices and wearable segment growthhas been encouraging. With product diversification, the growth outlook is positive.Further, Apple has nearly $170 billion in cash and equivalents. With strong operating cash flows, dividend growth will continue along with share repurchases. Also, Apple is positioned to pursue inorganic growth by investing in innovation-driven start-ups.There are reports that Apple hasdelayed its self-driving car launch until 2026. The company plans to sell consumer models for under $100,000. With a loyal customer base, the launch of the Apple car might be a big growth catalyst.Newmont Corporation (NEM)Source: Piotr Swat/ShutterstockGold has already been trending higher, and there are several long-term catalysts for the precious metal. This includes geopolitical tension, inflation, and a weak dollar.Newmont Corporation(NYSE:NEM) stock is a good proxy for investing in gold. The gold miner has remained subdued in the last 12 months, with gold remaining sideways to lower. NEM stock is, however, attractive at current levels and offers a dividend yield of 4.12%.Newmont Corporation has an investment-grade balance sheet, and that’s a key reason to like the stock. With strong financial flexibility, the company is positioned to sustain dividends and accelerate investments.Newmont has a strong asset base with96 million ounces of proven reserves. With investment in exploration activity, reserve replacement has remained strong. The company expects to deliver steady production through 2040.Therefore, even if gold trades around $2,000 an ounce, Newmont will report robust free cash flows. The company expects to lower the all-in-sustaining cost in the coming years. If gold trends are higher, meaningful EBITDA margin expansion can be expected.Ford Motor (F)Source: D K Grove / Shutterstock.comAmong the traditional automakers,Ford(NYSE:F) looks attractive among stocks to buy and hold. Ford has aggressive plans for the transformation of its portfolio towards EVs, and that’s likely to create value.F stock trades at an attractive forward price-earnings ratio of 6.8 times and offers a dividend yield of 3.7%. The downside is capped from current levels, while the upside potential is meaningful.Talking about EV plans, Ford expects to deliver aglobal capacity of 600,000 EVs by the end of 2023. Further, the companyexpects 40% to 50% of its global vehicle salesto be EVs by 2030. The company has also been investing in building battery plants to ensure that the supply chain remains smooth.An important point to note is that Ford reported a total liquidity buffer of $49.2 billion as of Q3 2022. With positive free cash flows, the company has ample financial flexibility to make big investments for portfolio transformation.On the date of publication, Faisal Humayun did not hold (either directly or indirectly) any positions in the securities mentioned in this article. The opinions expressed in this article are those of the writer, subject to theInvestorPlace.comPublishing Guidelines.Faisal Humayun is a senior research analyst with 12 years of industry experience in the field of credit research, equity research and financial modeling. Faisal has authored over 1,500 stock specific articles with focus on the technology, energy and commodities sector.More From InvestorPlaceBuy This $5 Stock BEFORE This Apple Project Goes LiveThe Best $1 Investment You Can Make TodayEarly Bitcoin Millionaire Reveals His Next Big Crypto Trade “On Air”It doesn’t matter if you have $500 or $5 million. Do this now.The post 7 Stocks to Buy and Hold For a Lifetime appeared first on InvestorPlace.",12d
TipRanks,https://markets.businessinsider.com/news/stocks/wall-street-s-strong-buys-2-retail-stocks-with-upside-potential-1032013544,Wall Street’s Strong Buys: 2 Retail Stocks with Upside Potential,"There are still retail stocks with upside potential, even though, with a recession on the horizon, retail sales could take another sharp turn lower. Undoubtedly, many looming retail sales pressures have likely been baked in here. Still, it’s difficult to gauge how much of a hailstorm the retail heavyweights could be in for as the Fed continues pushing rates higher.Wall Street analysts have been cautious regarding the more discretionary retailers. Despite enduring pain in 2022, analysts aren’t yet ready to pound the table on buying the dip with such names as RH (NYSE:RH). RH is an upscale retail play and probably one of the most discretionary names in discretionary retail.Though RH stock has a “Moderate Buy” consensus rating, the stock still has a mere 3.9% expected upside potential. Indeed, the price target downgrades for the stock keep flowing in, and this bar-lowering could continue until this market is ready to look past the damage that a seemingly-imminent recession will bring.Sure, RH stock is more than half off from peak levels. However, the stakes of getting in a tad too early are incredibly high. As such, investors who want decent value in retail may wish to go for a more staples-focused retail play.Costco (NASDAQ:COST) and Walmart (NYSE:WMT) are two retailers that have done a great job of holding their own in 2022, thanks partly to their grocery exposure and competitive prices. Though their post-recession recovery upside could be limited, I still view both retailers as intriguing options to ride out a few more waves in 2023.In this piece,we’ll compare the two retailersand see where Wall Street stands on them in a probable recession year.Costco (COST)Costco stock has historically traded at a pretty lofty multiple. With rates rising, many premium-priced, growth-focused stocks have felt the hit of a valuation reset. Even after a turbulent 2022, Costco stock still trades at a rich36.4 times trailing earnings multiple. Amid inflation and macro headwinds, though, Costco is one of few firms with some wind to its back. In 2023, the winds could strengthen as more consumers drive to great lengths to save more money.It’s not just looming catalysts (easing margin pressures and a recession-induced bump in foot traffic) that make Costco a great play. The top wholesale retailer has done a great job keeping its members happy. With one of the better value propositions in retail, Costco looks best able to take market share amid lingering inflation and slowing economic growth.The stock sports a low 0.77 beta, meaning Costco is slightly less volatile than the rest of the market. Should the bear market test new lows, Costco’s low beta should come in handy for jittery investors.Costco is one of the best defensive retailers to hold going into a period of economic turbulence. Still, investors will pay up for such premium exposure.What is the Price Target for COST Stock?Turning to Wall Street, analysts expect continued gains. The average COST stock price target sits at $554.09. From here, that’s a nearly 14.9% gain to be had.Walmart (WMT)Walmart is another resilient retailer that’s used its size to its advantage. The iconic retailer is well-known for having some of the lowest prices. As inflation sticks around while employment numbers are put to the test, the path of least resistance for WMT stock, I believe, is higher.In recent quarters, inventory challenges have taken a stride out of Walmart’s step. Still, management seems more up to dealing with inventory gluts relative to peers.Last month, Credit Suisse praised Walmart as a defensive pick for an uncertain year. Specifically, they outlined the firm’s ability to “play offense” in difficult environments. Undoubtedly, Walmart has a lot of growth levers it can pull while the economic tides begin to fall. There’s plenty of room to run on e-commerce. Further, the firm could continue to spruce up its Walmart+ subscription offering.Now, it’s a long shot to think Walmart+ can catch up to the likes of a Costco membership. Regardless, 2023 could be an opportunity for Walmart to gain ground over peers less competitive on price.At44.8 times trailing earnings, WMT stock looks expensive, but as a high-quality defensive that can swim forward in a recession year, a strong case could be made that Walmart presents compelling value.What is the Price Target for WMT Stock?Wall Street loves Walmart for its stability. The average WMT stock price target of $162.38 entails an 11.1% gain from here based on 20 Buys and five Holds assigned in the past three months.The TakeawayNot all retailers are created the same. The following grocery-heavy retail plays are great buys, according to Wall Street. Nonetheless, analysts expect slightly more upside from Costco over the next 12 months.Disclosure",15d
MotleyFool,https://markets.businessinsider.com/news/stocks/down-19-6percent-in-2022--is-costco-stock-a-buy-for-2023-12056600,"Down 19.6% in 2022, Is Costco Stock a Buy for 2023?","Costco'sstock price fell amid broader stock market declines in 2022. In this video, I will determine whether Costco's stock is a buy for 2023 and beyond.*Stock prices used were the afternoon prices of Jan. 7, 2023. The video was published on Jan. 9, 2023.",16d
Zacks,https://markets.businessinsider.com/news/stocks/costco-cost-dips-more-than-broader-markets--what-you-should-know-12053827,Costco (COST) Dips More Than Broader Markets: What You Should Know,"Costco (COST) closed the most recent trading day at $478.75, moving -0.85% from the previous trading session. This change lagged the S&P 500's daily loss of 0.08%. Elsewhere, the Dow lost 0.34%, while the tech-heavy Nasdaqadded 11.55%.Prior to today's trading, shares of the warehouse club operator had lost 0.03% over the past month. This has was narrower than the Retail-Wholesale sector's loss of 3.03% and the S&P 500's loss of 1.03% in that time.Costco will be looking to display strength as it nears its next earnings release. On that day, Costco is projected to report earnings of $3.21 per share, which would represent year-over-year growth of 9.93%. Our most recent consensus estimate is calling for quarterly revenue of $55.6 billion, up 7.11% from the year-ago period.COST's full-year Zacks Consensus Estimates are calling for earnings of $14.26 per share and revenue of $243.39 billion. These results would represent year-over-year changes of +8.52% and +7.24%, respectively.Investors might also notice recent changes to analyst estimates for Costco. These revisions help to show the ever-changing nature of near-term business trends. As such, positive estimate revisions reflect analyst optimism about the company's business and profitability.Our research shows that these estimate changes are directly correlated with near-term stock prices. To benefit from this, we have developed the Zacks Rank, a proprietary model which takes these estimate changes into account and provides an actionable rating system.The Zacks Rank system ranges from #1 (Strong Buy) to #5 (Strong Sell). It has a remarkable, outside-audited track record of success, with #1 stocks delivering an average annual return of +25% since 1988. Within the past 30 days, our consensus EPS projection has moved 1.03% lower. Costco is holding a Zacks Rank of #3 (Hold) right now.Investors should also note Costco's current valuation metrics, including its Forward P/E ratio of 33.85. Its industry sports an average Forward P/E of 28.27, so we one might conclude that Costco is trading at a premium comparatively.Meanwhile, COST's PEG ratio is currently 3.54. The PEG ratio is similar to the widely-used P/E ratio, but this metric also takes the company's expected earnings growth rate into account. The Retail - Discount Stores industry currently had an average PEG ratio of 2.61 as of yesterday's close.The Retail - Discount Stores industry is part of the Retail-Wholesale sector. This group has a Zacks Industry Rank of 188, putting it in the bottom 26% of all 250+ industries.The Zacks Industry Rank includes is listed in order from best to worst in terms of the average Zacks Rank of the individual companies within each of these sectors. Our research shows that the top 50% rated industries outperform the bottom half by a factor of 2 to 1.To follow COST in the coming trading sessions, be sure to utilize Zacks.com.5 Stocks Set to Double Each was handpicked by a Zacks expert as the #1 favorite stock to gain +100% or more in 2021. Previous recommendations have soared +143.0%, +175.9%, +498.3% and +673.0%.Most of the stocks in this report are flying under Wall Street radar, which provides a great opportunity to get in on the ground floor.Today, See These 5 Potential Home Runs >>Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. Click to get this free reportCostco Wholesale Corporation (COST): Free Stock Analysis ReportTo read this article on Zacks.com click here.Zacks Investment Research",17d
